iso1;iso2;group;community
-24.844   ;7.993;3;2
-23.043   ;8.987;3;2
-22.607   ;9.187;3;2
-24.225   ;9.002;3;2
-23.594   ;9.289;3;2
-24.436   ;7.643;3;2
-24.239   ;8.622;3;2
-23.668   ;8.510;3;2
-24.152   ;7.543;3;2
-23.840   ;8.533;3;2
-23.420   ;8.508;3;2
-25.591   ;8.362;3;2
-22.852   ;9.155;3;2
-22.921   ;8.726;3;2
-23.699   ;8.769;4;2
-24.320   ;8.314;4;2
-23.224   ;8.857;4;2
-23.538   ;9.175;4;2
-24.225   ;7.870;4;2
-23.161   ;8.390;4;2
-22.636   ;8.967;4;2
-23.992   ;8.728;4;2
-22.977   ;8.579;4;2
-23.686   ;8.636;4;2
-24.074   ;8.508;4;2
-22.922   ;9.043;4;2
-25.082   ;8.307;4;2
-23.371   ;8.316;4;2
-23.361   ;8.950;4;2
-24.717   ;8.282;4;2
-24.013   ;7.891;4;2
-23.024   ;8.171;1;1
-21.805   ;8.358;1;1
-24.114   ;7.653;1;1
-24.038   ;7.645;1;1
-23.046   ;8.516;1;1
-23.389   ;7.904;1;1
-23.508   ;8.015;1;1
-23.773   ;7.702;1;1
-23.708   ;8.021;1;1
-23.527   ;7.958;1;1
-23.261   ;8.442;1;1
-23.863   ;8.254;1;1
-23.986   ;8.052;1;1
-22.307   ;8.646;1;1
-22.377   ;8.221;2;1
-23.313   ;8.817;2;1
-22.816   ;8.723;2;1
-23.166   ;8.808;2;1
-22.903   ;8.585;2;1
-23.409   ;7.851;2;1
-22.330   ;8.304;2;1
-22.210   ;8.673;2;1
-22.203   ;8.269;2;1
-22.878   ;8.330;2;1
-23.195   ;8.626;2;1
-23.164   ;7.895;2;1
-23.655   ;7.556;2;1
-23.914   ;8.055;2;1
-23.685   ;8.001;2;1